First Name,Middle Name,Last Name,Suffix,Student No.,Student email,Parent 1 Prefix,Parent 1 First Name,Parent 1 Last Name,Parent 1 Suffix,Parent 1 email,Parent 2Prefix,Parent 2First Name,Parent2 Last Name,Parent2 Suffix,Parent2 email,Parent 3 Prefix,Parent 3 First Name,Parent 3 Last Name,Parent 3 Suffix,Parent3 email,N/A
Lashunda,Ann,Degnan,N/A,1245,ladegnan@ups.k12.com,Ms.,Kathy,Degnan,N/A,Degnank@gmail.com,Mr.,Skip,Degnan,N/A,Degnans@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Jeanene,June,Dell,N/A,1246,jjdell@ups.k12.com,Mrs.,Leaha,Dell,N/A,Delll@gmail.com,Mr.,George,Dell,N/A,Dellg@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Jarvis,Sean,Demps,N/A,1247,jsdemps@ups.k12.com,Ms.,Donyell,Demps,N/A,Dempsd@gmail.com,Mr.,William,Demps,N/A,Dempsw@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Blance,Kendra,Dingle,N/A,1248,bken@ups.k12.com,Ms.,Theresa,Dingle,N/A,Dinglet@gmail.com,Mr.,Brent,Dingle,N/A,Dingleb@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Lorena,Maria,Ditullio,N/A,1249,lmditullio@ups.k12.com,Sgt.,Shea,Ditullio,N/A,Ditullios@gmail.com,Mr.,Bobby,Ditullio,II,Ditulliobw@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Marianne,Nela,Ditullio,N/A,1250,mnditullio@ups.k12.com,Mrs.,Shae,Ditullio,N/A,Ditullios@gmail.com,Mr.,Brad,Ditullio,N/A,Ditulliob@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Abel,Lynette,Eyre,N/A,1251,aleyre@ups.k12.com,Mrs.,Elizabeth,Eyre,N/A,Eyree@gmail.com,Mr.,Louis,Eyre,N/A,Eyrel@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Leatrice,Patricia,Finchman,N/A,1252,lpfinchman@ups.k12.com,Ms.,Yvonne,Finchman,N/A,Finchmany@gmail.com,Mr.,Jeremy,Finchman,N/A,Finchmanj@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Erna,Gloria,Fromby,N/A,1253,egfromby@ups.k12.com,Ms.,Patricia,Fromby,N/A,Frombyp@gmail.com,Sgt.,Zach,Fromby,N/A,Frombyz@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Maida,Gayle,Forman,N/A,1254,mgforman@ups.k12.com,Mrs.,Jane,Forman,N/A,Formanj@gmail.com,Mr.,Richard,Forman,N/A,Formanr@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Reanna,Bea,Friesen,N/A,1255,rbfriesen@ups.k12.com,Ms.,Sue,Friesen,N/A,Friesens@gmail.com,Mr.,Raymond,Friesen,N/A,Friesenr@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Cleveland,Walter,Gaddas,III,1256,cwgaddas@ups.k12.com,Ms.,Betty,Gaddas,N/A,Gaddasb@gmail.com,Dr.,Thomas,Gaddas,II,Gaddast@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Bao,Detrick,Galvin,N/A,1257,bdgalvin@ups.k12.com,Dr.,Caroline,Galvin,N/A,Galvinc@gmail.com,Mr.,Reese,Galvin,N/A,Galvinr@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
George,Theo,Ghost,N/A,1258,gtghost@ups.k12.com,Mrs.,Vicki,Ghost,N/A,Ghostv@gmail.com,Mr.,Zachary,Ghost,N/A,Ghostz@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Kyra,Marie,Gidney,N/A,1259,kmgidney@ups.k12.com,Mrs.,Mable,Gidney,N/A,Gidneym@gmail.com,Mr.,Bob,Gidney,N/A,Gidneyba@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Rebecca,Helen,Gillett,N/A,1260,rhgillett@ups.k12.com,Ms.,Diane,Gillett,N/A,Gillettd@gmail.com,Mr.,Barney,Gillett,N/A,Gillettb@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Illuminada,Mae,Givan,N/A,1261,lmgivan@ups.k12.com,Ms.,Susan,Givan,N/A,Givans@gmail.com,Dr.,Bart,Givan,N/A,Givanb@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Jeanie,Darla,Godsey,N/A,1262,jdgodsey@ups.k12.com,Mrs.,Grace,Godsey,N/A,Godseyg@gmail.com,Mr.,Lewis,Godsey,N/A,Godseyl@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Adah,Pauline,Godwin,N/A,1263,apgodwin@ups.k12.com,Ms.,Linda,Godwin,N/A,Godwinl@gmail.com,Lt. Gen.,John,Godwin,N/A,Godwinj@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Marvella,Odel,Gomes,N/A,1264,mogomes@ups.k12.com,Ms.,Heidi,Gomes,N/A,Gomesh@gmail.com,Mr.,Samual,Gomes,N/A,Gomess@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Yong,Pea,Goodrum,N/A,1265,ypgoodrum@ups.k12.com,ÊLiut.,Bess,Goodrum,N/A,Goodrumb@gmail.com,Mr.,Michael,Goodrum,N/A,Goodrumm@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Carmelia,Fredrica,Graddy,N/A,1266,cfgraddy@ups.k12.com,Mrs.,Bonnie,Graddy,N/A,Graddyb@gmail.com,Mr.,Hal,Graddy,N/A,Graddyh@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Tien,Michael,Graves,N/A,1267,tmgraves@ups.k12.com,Mrs.,Kathy,Graves,N/A,Gravesk@gmail.com,Rev.,Patrick,Graves,N/A,Gravesp@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Travis,Hal,Griffin,N/A,1268,thgriffin@ups.k12.com,Ms.,Leaha,Griffin,N/A,Griffinl@gmail.com,Mr.,Timothy,Griffin,N/A,Griffint@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Sharolyn,Haley,Groves,N/A,1269,shgroves@ups.k12.com,Ms.,Donna,Groves,N/A,Grovesd@gmail.com,Mr.,Herman,Groves,N/A,Grovesh@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Sharon,Shelia,Gulotta,N/A,1270,ssgulotta@ups.k12.com,Mrs.,Theresa,Gulotta,N/A,Gulottat@gmail.com,Mr.,Thom,Gulotta,N/A,Gulottat@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Stanford,Louis,Gutierres,N/A,1271,slgutierres@ups.k12.com,Ms.,Susan,Gutierres,N/A,Gutierress@gmail.com,Mr.,Richard,Gutierres,N/A,Gutierrese@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Carroll,Sue,Hage,N/A,1272,cshage@ups.k12.com,Ms.,Shae,Hage,N/A,Hages@gmail.com,Mr.,George,Hage,N/A,Hageg@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Shona,Betrice,Hankin,N/A,1273,sbhankin@ups.k12.com,Rev.,Elizabeth,Hankin,N/A,Hankine@gmail.com,Mr.,William,Hankin,N/A,Hankinw@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Timothy,Patrick,Hans,N/A,1274,tphans@ups.k12.com,Mrs.,Yvonne,Hans,N/A,Hansy@gmail.com,Mr.,Brent,Hans,N/A,Hansb@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Roy,Hal,Hans,N/A,1275,rhhans@ups.k12.com,Mrs.,Patricia,Hans,N/A,Hansp@gmail.com,Mr.,Bobby,Hans,N/A,Hansrt@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Herman,G.,Harvison,N/A,1276,hgharvisonr@ups.k12.com,Ms.,Kara,Harvison,N/A,Harvisonk@gmail.com,Mr.,Brad,Harvison,N/A,Harvisonb@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Margarito,Patricia,Hassinger,N/A,1277,mphassinger@ups.k12.com,Ms.,Kendra,Hassinger,N/A,Hassingerk@gmail.com,Mr.,Louis,Hassinger,N/A,Hassingerl@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
Jeanice,Susan,Haugh,N/A,1278,jshaugh@ups.k12.com,Mrs.,Patty,Haugh,N/A,Haughp@gmail.com,Mr.,Jeremy,Haugh,N/A,HaughJ@flymail.com,N/A,N/A,N/A,N/A,N/A,N/A
